UF;Branca;Preta;Parda
RO;0,3557;0,1421;0,5022
AC;0,1864;0,1173;0,6963
AM;0,22;0,0487;0,7314
RR;0,2549;0,1231;0,622
PA;0,1986;0,1229;0,6785
AP;0,1126;0,193;0,6944
TO;0,233;0,2353;0,5317
MA;0,2166;0,1728;0,6106
PI;0,2235;0,1504;0,6261
CE;0,3471;0,0889;0,564
RN;0,4206;0,0797;0,4998
PB;0,3678;0,1054;0,5268
PE;0,3464;0,0916;0,562
AL;0,2666;0,079;0,6544
SE;0,2461;0,1061;0,6477
BA;0,2266;0,1986;0,5748
MG;0,5126;0,127;0,3604
ES;0,4801;0,1002;0,4197
RJ;0,5546;0,1417;0,3037
SP;0,6726;0,0819;0,2454
PR;0,6495;0,0597;0,2907
SC;0,8698;0,0217;0,1085
RS;0,8305;0,0639;0,1057
MS;0,5086;0,0834;0,408
MT;0,3966;0,0612;0,5421
GO;0,4075;0,0897;0,5028
DF;0,4427;0,0946;0,4627
Total;0,5145;0,1047;0,3808
