UF;Regular_ruim_muito ruim;Muitobom_bom 
RO;0,3694;0,6306
AC;0,3818;0,6182
AM;0,3051;0,6949
RR;0,3614;0,6386
PA;0,3883;0,6117
AP;0,3983;0,6017
TO;0,3944;0,6056
MA;0,4621;0,5379
PI;0,4383;0,5617
CE;0,3913;0,6087
RN;0,3888;0,6112
PB;0,3957;0,6043
PE;0,3991;0,6009
AL;0,421;0,579
SE;0,4266;0,5734
BA;0,4434;0,5566
MG;0,2892;0,7108
ES;0,3214;0,6786
RJ;0,3057;0,6943
SP;0,2824;0,7176
PR;0,2829;0,7171
SC;0,256;0,744
RS;0,2747;0,7253
MS;0,2876;0,7124
MT;0,3129;0,6871
GO;0,3391;0,6609
DF;0,2399;0,7601
Total;0,3301;0,6699
